nome,id,Proteína,Carboidrato,Energia,Colesterol,Lipídeos,Fibra Alimentar,Vitamina C,Ferro,Cálcio,Sódio,Magnésio,Potássio,Manganês,Fósforo,Cobre,Zinco,Cinzas,Retinol,Tiamina,Riboflavina,Piridoxina,Niacina,RE,RAE,Umidade
"Frango, coxa, com pele, crua",132,100,17.10,0,161,97,9.80,0,0,0.70,8,95,26,275,0.02,185,0.03,2,0.80,10,0.16,0.05,0,2.04,10,10,72.9
"Tomate, salada",133,100,0.80,5.10,21,0,0,2.30,12.80,0.30,7.00,5,10,161,0.04,23,0.07,0.20,0.40,0,0.06,0.04,0.05,0,0,0,93.6
"Pão, milho, forma",134,100,8.30,56.40,292,6,3.10,4.30,0,3,78,507,29.00,89,0.37,110.00,0.10,0.80,1.80,0,0.08,0,0.08,0,0,0,30.4
"Óleo, de girassol",135,100,0,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaca atolada,136,100,5.10,10.10,145,19,9.30,2.30,0,0.70,63,26,16,220.00,0.04,72,0.12,1.20,0.50,0,0,0,0,0.77,0,0,75.0
"Pão, trigo, sovado",137,100,8.40,61.50,311,17,2.80,2.40,0,2.30,52,431.00,22,91,0.31,101,0,2.70,1.50,0,0.08,0.04,0.15,0,0,0,25.8
"Gelatina, sabores variados, pó",138,100,8.90,89.20,380,0,0,0,40,0.30,27,235,2,7.00,0.03,2,0,0,0.60,0,0,0,0,0,0,0,1.2
"Carne, bovina, capa de contra-filé, sem gordura, grelhada",139,100,35.10,0,239,80,10,0,0,2.80,9,83,26,385,0.01,287,0.12,7.60,1.30,0,0.03,0.08,0,1.86,0,0,53.7
"Alface, roxa, crua",140,100,0.90,2.50,13,0,0.20,2,13.50,2.50,34,7.00,9,308,0.12,51,0.04,0.20,0.70,0,0,0,0,0,312,312,95.7
"Caqui, chocolate, cru",141,100,0.40,19.30,71,0,0.10,6.50,29.60,0.10,18,2,9,164,0.39,18,0,0.20,0.50,0,0,0,0.03,0,0,0,79.7
